Pilote,Voile,Classement,Start,B1,B2,B3,B4,B5,B6,B7,ESS,Goal
TOMCZAK,Diamir 2,1,1386,1113,1212,1138,1239,1454,1245,1192,987,761
MELO,Diamir 2,2,1396,1132,1213,1190,1289,1182,1251,1184,1034,467
GAUDRY,Diamir 2,3,1370,1066,1164,1073,1293,1153,1116,1062,826,541
HUSSON,Diamir 2,4,1266,1146,1187,1091,1270,1314,1109,1143,949,512
MASSON,Diamir 2,5,1325,1115,1190,1136,1272,1287,1215,1133,868,525
MALBURET,Diamir 2,6,1286,1098,1163,1095,1280,1299,1157,1267,1116,493
MARMONIER,Diamir 2,7,1337,1114,1175,1063,1249,1252,1286,1042,925,574
HAAS,Diamir 2,8,1337,1184,1153,1028,1198,1223,1203,1015,744,491
COUERON,Diamir 2,9,1174,1285,1317,1104,1317,1331,1196,1029,811,683
IEROPOLI,Diamir 2,10,1318,1142,1185,1221,1335,1234,1296,1069,777,502
LECHEVALIER,Diamir 2,11,1353,1081,1287,1036,1212,1156,1189,1073,1074,463
LIVINEC,Diamir 2,12,1235,1237,1303,1097,1312,1515,1344,1125,1065,504
CHASSAIN,Diamir 2,13,1248,1105,1176,1018,1281,1545,1232,1242,1152,988
ESCAICH,Diamir 2,14,1366,1439,1293,1113,1388,1227,1340,1077,967,608
BONNIER,Diamir 2,15,1252,1241,1383,1256,1406,1460,1305,1028,980,472
OLLIET,Diamir 2,16,1224,1284,1294,1082,1386,1472,1303,1319,1296,473
CAREL,Diamir 2,17,1223,1023,1265,1122,1371,1474,1234,1195,920,492
CLIQUENNOIS,Diamir 2,18,1307,1135,1307,1139,1412,1578,1142,1233,1157,454
DI LEO,Diamir 2,19,1205,1176,1221,1072,1322,1365,1273,1240,1029,751
MUZELLEC,Diamir 2,20,1296,1245,1343,1084,1380,1497,1426,1122,601,493
DUMONT-GUILLEMET,Diamir 2,21,1203,1199,1321,1179,1405,979,1152,1191,1038,483
RABOTEAU,Diamir 2,22,1276,1269,1426,1201,1410,1449,1477,1170,955,501
BERTHEUIL,Diamir 2,23,1289,1212,1330,1194,1418,1464,1335,1224,1088,507
PEREZ-PINTOS,Diamir 2,24,1274,1136,1253,1249,1424,1257,1326,840,,
MATHIS,Diamir 2,25,1212,1192,1260,1116,1276,1246,1369,,,
BENNAZAR,Diamir 2,26,1210,1278,1354,1140,1139,969,1465,,,
PERRIGUET,Diamir 2,27,1288,1213,1267,1348,1356,,,,,
HUMEAU,Diamir 2,28,1243,1195,1143,833,,,,,,
CLIQUENNOIS,Diamir 2,29,1320,1245,1230,1232,,,,,,
TOUTAN,Diamir 2,30,1160,1157,1172,1138,,,,,,
