Pilote,Voile,Classement,Start,B1,B2,B3,B4,B5,B6,B7,ESS
TOMCZAK,Diamir 2,1,03:00:52 PM,03:05:24 PM,03:17:18 PM,03:27:27 PM,03:37:43 PM,03:49:10 PM,03:59:54 PM,04:12:14 PM,04:15:11 PM
MELO,Diamir 2,2,03:00:40 PM,03:05:56 PM,03:18:28 PM,03:28:35 PM,03:38:54 PM,03:48:12 PM,03:59:09 PM,04:12:29 PM,04:16:00 PM
GAUDRY,Diamir 2,3,03:00:44 PM,03:06:40 PM,03:18:21 PM,03:28:16 PM,03:38:38 PM,03:47:48 PM,04:00:21 PM,04:12:48 PM,04:16:08 PM
HUSSON,Diamir 2,4,03:00:17 PM,03:06:32 PM,03:18:25 PM,03:28:15 PM,03:39:13 PM,03:49:44 PM,03:59:26 PM,04:13:15 PM,04:17:01 PM
MASSON,Diamir 2,5,03:00:46 PM,03:06:36 PM,03:18:26 PM,03:28:20 PM,03:39:12 PM,03:48:52 PM,03:59:18 PM,04:13:24 PM,04:17:09 PM
MALBURET,Diamir 2,6,03:00:56 PM,03:06:42 PM,03:18:33 PM,03:28:35 PM,03:39:12 PM,03:48:48 PM,03:59:53 PM,04:13:51 PM,04:17:15 PM
MARMONIER,Diamir 2,7,03:00:19 PM,03:07:06 PM,03:18:38 PM,03:27:51 PM,03:38:20 PM,03:48:17 PM,04:01:46 PM,04:14:33 PM,04:18:19 PM
HAAS,Diamir 2,8,03:01:05 PM,03:07:22 PM,03:19:03 PM,03:30:30 PM,03:42:49 PM,03:57:06 PM,04:11:30 PM,04:28:46 PM,04:32:49 PM
COUERON,Diamir 2,9,03:00:29 PM,03:12:34 PM,03:26:23 PM,03:38:16 PM,03:51:46 PM,04:00:19 PM,04:12:51 PM,04:29:15 PM,04:32:57 PM
IEROPOLI,Diamir 2,10,03:01:03 PM,03:07:10 PM,03:19:46 PM,03:31:12 PM,03:43:28 PM,03:57:00 PM,04:11:43 PM,04:29:36 PM,04:33:27 PM
LECHEVALIER,Diamir 2,11,03:00:25 PM,03:07:21 PM,03:21:14 PM,03:30:55 PM,03:42:23 PM,03:56:59 PM,04:14:08 PM,04:30:28 PM,04:34:09 PM
LIVINEC,Diamir 2,12,03:01:24 PM,03:12:38 PM,03:25:49 PM,03:37:13 PM,03:51:14 PM,04:00:50 PM,04:12:47 PM,04:30:32 PM,04:34:18 PM
CHASSAIN,Diamir 2,13,03:00:36 PM,03:07:18 PM,03:20:19 PM,03:33:05 PM,03:46:41 PM,04:01:01 PM,04:11:10 PM,04:32:15 PM,04:36:07 PM
ESCAICH,Diamir 2,14,03:02:31 PM,03:11:08 PM,03:22:54 PM,03:34:54 PM,03:52:36 PM,04:00:05 PM,04:15:59 PM,04:34:49 PM,04:39:07 PM
BONNIER,Diamir 2,15,03:01:16 PM,03:14:03 PM,03:30:26 PM,03:41:44 PM,03:59:20 PM,04:08:38 PM,04:19:32 PM,04:37:53 PM,04:41:53 PM
OLLIET,Diamir 2,16,03:02:00 PM,03:11:14 PM,03:26:25 PM,03:38:09 PM,03:54:08 PM,04:05:20 PM,04:21:43 PM,04:39:50 PM,04:44:03 PM
CAREL,Diamir 2,17,03:01:04 PM,03:08:08 PM,03:26:41 PM,03:39:22 PM,03:54:11 PM,04:08:12 PM,04:21:32 PM,04:40:39 PM,04:45:25 PM
CLIQUENNOIS,Diamir 2,18,03:00:43 PM,03:14:12 PM,03:27:58 PM,03:40:43 PM,03:58:45 PM,04:09:48 PM,04:21:27 PM,04:40:21 PM,04:45:36 PM
DI LEO,Diamir 2,19,03:01:27 PM,03:15:42 PM,03:34:04 PM,03:49:13 PM,04:09:37 PM,04:19:03 PM,04:29:00 PM,04:45:48 PM,04:49:29 PM
MUZELLEC,Diamir 2,20,03:01:19 PM,03:16:55 PM,03:32:56 PM,03:48:44 PM,04:08:09 PM,04:17:53 PM,04:29:47 PM,04:47:18 PM,04:53:33 PM
DUMONT-GUILLEMET,Diamir 2,21,03:02:06 PM,03:13:30 PM,03:27:11 PM,03:39:34 PM,03:53:52 PM,04:03:11 PM,04:29:38 PM,04:49:45 PM,04:54:12 PM
RABOTEAU,Diamir 2,22,03:00:46 PM,03:11:52 PM,03:30:27 PM,03:42:30 PM,04:08:36 PM,04:18:21 PM,04:31:42 PM,04:50:37 PM,04:55:00 PM
BERTHEUIL,Diamir 2,23,03:01:34 PM,03:12:34 PM,03:31:11 PM,03:42:46 PM,04:08:28 PM,04:18:07 PM,04:30:50 PM,04:51:55 PM,04:56:24 PM
PEREZ-PINTOS,Diamir 2,24,03:01:06 PM,03:07:03 PM,03:19:41 PM,03:30:56 PM,03:45:51 PM,03:54:14 PM,04:05:54 PM,04:29:06 PM,
MATHIS,Diamir 2,25,03:01:16 PM,03:12:02 PM,03:26:29 PM,03:37:30 PM,03:52:26 PM,03:59:46 PM,04:15:53 PM,,
BENNAZAR,Diamir 2,26,03:01:28 PM,03:15:16 PM,03:33:14 PM,03:50:20 PM,04:13:02 PM,04:34:54 PM,04:57:47 PM,,
PERRIGUET,Diamir 2,27,03:00:25 PM,03:20:18 PM,03:37:22 PM,03:58:47 PM,04:14:38 PM,,,,
HUMEAU,Diamir 2,28,03:01:52 PM,03:15:38 PM,03:29:23 PM,03:39:53 PM,,,,,
CLIQUENNOIS,Diamir 2,29,03:01:14 PM,03:13:50 PM,03:28:53 PM,03:43:33 PM,,,,,
TOUTAN,Diamir 2,30,03:12:13 PM,03:28:54 PM,03:50:08 PM,04:04:15 PM,,,,,
